Article Name,Article Content
Why can't I log in to my account?,"Please check if you have entered the correct email and password. Should you have forgotten the password, you may choose to reset it via the ""Forgot Password or 2FA?""
link
. Should the problem still persist, please send an email to
[email protected]
, we will assist you on this."
How do I tell if the email is from Delta Exchange or a phishing email?,"Take special note of the email address of the sender. Emails from Delta Exchange will always end with delta.exchange and no other addresses. Further, Delta Exchange staff will never ask you for any of your password(s) and/or 2FA code. Should you be in doubt about the authenticity of the email, please do not hesitate to contact us through our live chat support on the Delta Exchange
homepage
, or the trollbox on the trading terminal or our
Telegram channel
."
Can I change my email address after registration?,"No, email address is permanently bound with an account and can't be changed."
I have lost my 2FA device. How do I regain access to my account?,"Please write to
[email protected]
with subject 'Lost 2FA device'. We may ask you to provide some documents and/ or information pertaining to the account to ascertain the account's ownership."
Depositing Crypto in Delta for Indian Users - May 2022,"How to deposit funds to Delta Exchange via ZebPay.
To deposit funds on Delta Exchange via ZebPay, you need to first make an account on ZebPay and deposit INR.
Buy USDT/XRP/BTC/SOL/ETH there and transfer it to your Delta account.
Steps to deposit INR to ZebPay:
You can deposit INR into your ZebPay account using the below 2 deposit options:
1- IMPS, RTGS
2- NEFT
*DISCLAIMER*
Do not use UPI for this deposit.
Please transfer using only your banking app NEFT, RTGS or IMPS.
UPI deposits will fail and will be refunded within 3-weeks. ZebPay will not be responsible for loss of funds sent via UPI.
Steps
Tap on “Deposit” on your ZebPay home screen, and then tap on ""Bank Transfer"" .
Please make all deposits from your ZebPay registered bank account only. The beneficiary account is unique to you and is not to be shared with anyone else. You can find this in the app itself. You need to add the beneficiary account to your own bank app as a beneficiary. This is a one-time process only.
Open and log in to your bank application. Tap Fund Transfer.
Tap on “Add payee”.
Enter the details shown in your ZebPay app as a payee/beneficiary in your bank app. Make sure to enter your account number and IFSC Code correctly. Tap Proceed.
Confirm your account details.
You will receive an OTP message. Enter the OTP code.
You will now see ""Awlencan Innovations India Limited"" as a payee in your bank app. Select it to send funds to your ZebPay account.
Enter the amount to transfer. Only deposit via IMPS, NEFT or RTGS as the transfer type. Proceed to make the payment.
Once the payment is successful, the amount will reflect in your ZebPay account within 4 hours and will become available for trading. Currently, deposits are only processed between 10 am to 7 pm.
How to send funds from ZebPay to your Delta.Exchange Account.
1. Go to deposits page of your KYC’ed
Delta Exchange account
.
2. Select the coin you want to deposit. Make sure that the coin selected is same in both ZebPay and Delta.Exchange
3. Select the network you are sending the funds from and make sure that the network selected is same in both ZebPay and Delta.Exchange
4. Copy the address as shown in the screenshot or from the QR code.
5. Go to your Zebpay account and click on send
6. Click on add new address
7. Paste your Delta Address in the field marked in the screenshot and fill all other relevant details. In case of XRP make sure you have added both address and Memo that you are seeing on your deposit address.
8. After saving the address, select the address to send funds to
9. Add the quantity (how much you want to transfer) and send the funds to your delta account.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
Key information about deposits & withdrawals,"Supported Currencies
We are continually working towards adding support for more coins, however, currently we only support Deposit and Withdrawal of the following currencies over a limited number of networks.
Please note that we currently do not support deposit/ withdrawals of fiat currencies like the USD or INR.
You can however use the services of our onramp and offramp partners to convert your fiat currencies to crypto.
Cryptocurrency
Supported Networks
ETH
ERC20, BEP20 (BSC)
BTC
BTC
USDT
ERC20, BEP20 (BSC), TRC20, Polygon (MATIC)
DETO
ERC20, BEP20 (BSC)
XRP
XRP
USDC
ERC20, BEP20 (BSC)
BNS
ERC20, BEP20 (BSC)
Users are requested to check the selected coin and network before making any deposits or withdrawals. If an unsupported coin is deposited on the platform, Delta may not be able to recover your deposit.
Transaction Fees
Deposits
There are no fees for deposits on Delta Exchange.
Withdrawals
Withdrawals are free for users holding more than 2500 DETO in their account for more than 24 hours. For all other users, there is a flat withdrawal fee for each coin, please refer the below table:
Cryptocurrency
Network
Withdrawal Fees
Minimum Withdrawal
ETH
ERC20
0.0025 ETH
0.01 ETH
ETH
BEP20 (BSC)
0.0001 ETH
0.0003 ETH
BTC
BTC
0.001 BTC
0.002 BTC
USDT
ERC20
10 USDT
30 USDT
USDT
BEP20 (BSC)
1 USDT
30 USDT
USDT
TRC20
3 USDT
30 USDT
USDT
Polygon (MATIC)
0.5 USDT
10 USDT
DETO
ERC20
50 DETO
500 DETO
XRP
XRP
0.25 XRP
15 XRP
USDC
BEP20 (BSC)
1 USDT
30 USDT
USDC
ERC20
10 USDT
30 USDT
SOL
SOLANA
0.01 SOL
0.02 SOL
Transaction Speed
Deposits
Deposits are processed immediately post release of funds from the sender wallet and number of confirmations as per the below list:
Cryptocurrency
Network
Tag/ Memo required
Required number of confirmation
ETH
ERC20
No
1
BTC
BTC
No
1
USDT
ERC20, BEP20 (BSC)
No
1
DETO
ERC20, BEP20 (BSC)
No
1
XRP
XRP
Yes
1
SOL
SOLANA, BEP20 (BSC)
No
1
BNS
ERC20, BEP20 (BSC)
No
1
Please note that it is mandatory to mention memo/ tag in your XRP deposits
. We will not be able to credit XRP deposits where memo/ tag is missing
In case of any delays please
raise a support ticket
Withdrawals
Majority of the withdrawals are processed within 30 minutes through a manual review. Larger withdrawals may take up to 24 hours. In case of any delays please
raise a support ticket
Note: Withdrawals will be disabled for the next 24 hours whenever you change your account password"
How can I cancel my withdrawal?,"You can cancel your withdrawal request by clicking on the 'cancel withdrawal' button on the
withdrawals page
. A withdrawal request can be cancelled any time before the processing of the daily withdrawals"
Is there a minimum withdrawal amount?,"Yes, the minimum withdrawal amount is 0.002 BTC"
Why is my deposit not showing up in my Delta Exchange wallet?,"Deposits are credited only after a minimum of two block confirmations. The average block time for the bitcoin blockchain is ~10 mins. Thus, it may take around 20 mins from transaction initiation for your deposit to show up in your Delta Exchange wallet.
Please also ensure that you send only Bitcoin to your Delta Exchange deposit address. Litecoin, Bitcoin Cash and Tether networks accept Bitcoin addresses as valid. If you send any unsupported coins, they will be lost and we won't be able to recover them."
How often are withdrawals processed?,"For enhanced security of the cryptocurrencies on our custody, we process withdrawals with manual review once every 24 hours. Withdrawals are processed between 12pm - 3pm UTC. To be included in the day's batch, your withdrawal request must be confirmed before 11am UTC."
Can I deposit USD to my Delta Exchange account?,"No, you can deposit only Bitcoin and USDT to your Delta account.

However, you can use the services of our onramp partners to convert your USD to USDT."
Fees on Options and Futures Trading,"The trading fees on Delta are mainly charged at the
Notional Size
of the trade
Notional Size = Spot Price * Qty
Spot Price*: click
here
to know more
Example: Options
Let's assume a trader buys 300 contracts of BTC USDT option at a strike price of $26,000 while BTC is trading at 26,200
1 contract of BTC = 0.001 BTC
300 contracts of BTC = 300 * 0.001 = 0.3 BTC
Hence the notional size = 26200 * 0.3 =
$7860
Example: Futures
Let's assume a trader buys 300 contracts of BTC USDT futures at a price of $26,200.
1 contract of BTC = 0.001 BTC
300 contracts of BTC = 300 * 0.001 = 0.3 BTC
Hence the notional size = 26200 * 0.3 =
$7860
Fees in Options Trading (Options and Move Contracts)
Usually the trader will only be paying the Taker/Maker fees while opening or closing a position. This fees remains fixed.
Taker/Maker Fees (0.0375% of the Notional Size)
Taker fee is a trading fee charged to traders who ""take"" liquidity from the order book by executing trades that are immediately matched with existing orders.
Maker fee is a trading fee charged to traders who provide liquidity to the order book by placing limit orders that are not immediately matched with existing orders.
Click
here
to know more about taker and maker orders.
Fee Capping feature Advantage (12.5% of premium)
Delta Exchange offers a fee capping feature where the trading fee is capped at a maximum of 12.5% of the premium on options contracts. This fee capping advantage can benefit traders who deal with Deep OTM options which have low-premium.
Fee Calculation
Let's assume a trader buys 300 contracts of BTC USDT OTM option at a strike price of $26,000 at a premium of $15 while BTC is trading at $26,200
1 contract of BTC = 0.001 BTC
300 contracts of BTC = 300 * 0.001 = 0.3 BTC
Hence the notional size = 26200 * 0.3 = $7860
Premium Paid = Qty * Premium = 0.3 BTC * $15 = $4.5
Since, the taker/maker fees is 0.0375% the fee would have been
0.0375% * $7860 =
$2.9475.
However, 12.5% of the premium for this trade is
12.5% * $4.5 =
$0.5625.
Since this is less than $2.9475, the user will only pay
$0.5625 as the trading fees
.
The premium capping will be eligible only when the taker/maker fees based on the notional size is more than the fees based on the 12.5% premium calculations.
NOTE
: The calculation will stay the same even in case of option selling.
Fees in Futures Trading (Inverse/USDT Linear Futures)
Usually the trader will only be paying the Taker/Maker fees while opening or closing a position. This fees remains fixed.
Unlike options, the maker fees in Futures is 0.02% less than the taker fees. Hence, a user can take advantage of the less maker fees by ensuring he takes a Maker Order.
Taker Fee: 0.06% of the Notional Size
Maker Fee: 0.04% of the Notional Size
Fee Calculation
Let's assume a trader buys 300 contracts of BTC USDT futures at a price of $26,200.
1 contract of BTC = 0.001 BTC
300 contracts of BTC = 300 * 0.001 = 0.3 BTC
Hence the notional size = 26200 * 0.3 = $7860
Fees for Taker Order will be 0.06% * 7860 =
$4.716
while the
Fees in case it is a Maker Order will be 0.04% * 7860 =
$3.144
NOTE
: The calculation will stay the same even in case of a sell order.
Frequently Asked Questions
Where can I see fees paid in my account?
You can check fees paid for individual trades in the Fills or Order History section.
To check the overall fees paid, please check the Trading Activity section in the PNL Analytics page:
Does Leverage affect trading fees?
No leverage does not affect trading fees.
Which Margin Mode attracts the least trading fees?
Trading fees are independent of the margin mode. Hence, the fees will remain the same irrespective
of which margin mode you trade in.
What is Delta Cash and how is it used to pay fees?
Delta Cash is a kind of a cashback that can be used to offset your trading fees. You can use this to pay 25% of the trading fee per trade (subject to if you have sufficient Delta Cash to support trading fees).
Our system automatically verifies if you have any Delta Cash in your trading account and debits the Delta Cash with a higher preference given to it than your trading balances.
Know More
What is Deto and how is it used to pay fees?
DETO is the utility token of Delta Exchange. Earn DETO through trade farming, liquidity mining or referral mining.
You can use DETO to pay 25% of the trading fee per trade but only if you have enabled the ‘Pay trading fees in Deto’ option under manage preference.
Know More
What is the Settlement Fee?
Settlement fees is the fee charged when an open position in a futures or options contract is automatically settled at the expiry of the contract. All settlement trades are processed as taker trades and hence taker fee is applicable.
Futures: Settlement fee is 0.06%
Options: Settlement fee is 0.0375%, capped at 12.5% of premium. The premium cap ensures that options expiring worthless do not incur any settlement fees.
How much trading fees do I need to pay if my option contract expires worthless?
We do not charge any trading fees in case the option contract you were holding expires worthless.
Why are the Options trading fees high compared to Bank-Nifty (India) options?
Crypto options trading fees are slightly higher due to factors like market volatility, liquidity challenges, regulatory considerations, etc. Rest assured, we offer you the best possible rates while ensuring a user-friendly experience."
Decode Delta Cash,"What is Delta Cash?
Delta Cash is a kind of a cashback that can be used to offset your trading fees. You can use this to pay 25% of the trading fee per trade (subject to if you have sufficient Delta Cash to support trading fees).
How can I utilise Delta Cash?
You can utilise Delta Cash for trading in options, futures as well as spot segments.
For example, if you have $25 Delta Cash with you and you’ve made a trade. The trading fees incurred for this trade turns out to be $10. You can now pay the fees in the form of sum of:
$7.5 (from the trading balances you hold) and $2.5 (25% of $10 of Delta Cash you hold).
In a way, you are getting up to 25% discount on your trading fees.
However, if you only have $2 Delta Cash in the above example, you can pay the fees in the form of sum of:
$8 (from the trading balances you hold) and $2 Delta Cash you hold.
How do I know if the fees are being paid with Delta Cash?
You need not worry about whether the fee payment is done via Delta Cash or not. Our system automatically verifies if you have any Delta Cash in your trading account and debits the Delta Cash with a higher preference given to it than your trading balances.
You can view all your Delta Cash transactions
here
.
How do I get Delta Cash?
Delta Cash, in general, can be claimed through offers which are available on the platform. In some cases, we distribute Delta Cash as special offers to certain sets of traders based on their trading behaviour.
Is there any expiry date for Delta Cash?
There is no predetermined expiry date but Delta Exchange reserves the right to modify or change the terms of expiry as and when required based on the offer conditions and trading behaviour of a user.
Know more on how to save more trading fees by combining Delta Cash and DETO here.
View Survey"
Hold DETO and Enjoy Free Withdrawals!,"DETO holders can now avail ZERO withdrawal fees!
How to avail this?
Simply hold a
minimum balance of 25000 DETO
in your Delta account, for
more than 24hrs
to be eligible for zero withdrawal fees.
Applicable for all Delta wallets
Eligible users will avail zero withdrawal fees on all wallets, i.e. on
all BTC & ERC-20
wallets.
Terms:
You need to hold 25000 DETO tokens for more than 24 hours from the time of your withdrawal request.
For example
: You cannot buy DETO and shortly after raise your withdrawal request; you need to have held the 25000 DETO balance in your wallet for more than 24hours prior to raising your withdrawal request.
DETO holdings placed in a Sell Order won't be counted towards the 25000 DETO threshold, and you won't be eligible for free withdrawals.
These terms can be changed at any time at Delta's sole discretion.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
No Withdrawal Fees for DETO Holders,"DETO holders can now avail ZERO withdrawal fees!
How to avail this?
Simply hold a
minimum balance of 25000 DETO
in your Delta account, for
more than 24hrs
to be eligible for zero withdrawal fees.
Applicable for all Delta wallets
Eligible users will avail zero withdrawal fees on all wallets, i.e. on
all BTC & ERC-20
wallets.
Terms:
You need to hold 25000 DETO tokens for more than 24 hours from the time of your withdrawal request.
For example
: You cannot buy DETO and shortly after raise your withdrawal request; you need to have held the 25000 DETO balance in your wallet for more than 24hours prior to raising your withdrawal request.
DETO holdings placed in a Sell Order won't be counted towards the 25000 DETO threshold, and you won't be eligible for free withdrawals.
These terms can be changed at any time at Delta's sole discretion.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
How can I ensure I earn maker rebate on all my trades?,"You earn maker rebate when your order adds to the liquidity by resting in the order book, instead of matching against an existing order. You can ensure this by placing only limit orders with the '
post-only
' flag enabled. When the post-only flag is enabled, your limit order is cancelled if it would match against an existing order."
Do you charge withdrawal fees?,"We charge a flat withdrawal fee to cover the network costs. Network costs are paid to the miners.

Withdrawal fee for Bitcoin: 0.0005BTC"
How are trading fees calculated?,"Trading fee can vary from contract to and contract and are available
here
."
How to use Charting Tools to improve Technical Analysis,"Delta Exchange has integrated Trading View charts that can be used by traders for conducting technical analysis. Here’s the list of features and tools that are at the disposal of traders for enhancing their trading strategies and performance.
1. Multi-Tab Options
The multiple tab option is available on the top of the trading screen interface. The tabs offer different parameters such as traded price, mark price, funding and market dept.
2. Different Chart Types
By default, the chart shown on the interface is a candlestick chart with 15m frequency. However, there are multiple chart options available such as Line, Bars, Hollow Candles and so on, ranging from a frequency of 1 minute to 30 days.
3. Perform Analysis and Technical Studies
This feature on the interface lets traders compare two or more contracts to see if there is any price correlation, draw analysis through data points or track the movement of price. Let’s take, for instance, Bollinger Bands on BTCUSD contract.
Bollinger Bands
is a set of lines plotted two standard deviations away from a simple moving average. Two standard deviations is not a fixed number and hence traders have the option of changing the standard deviations according to their strategy on the interface. This is what Bollinger Bands on BTCUSD at 1 standard deviation look like.
*The arrow marked in red is where the option to edit charts is available.

After loading a particular study, traders have the option to edit the data points in line with their study.
Please note:
Trading View saves a study in the contract on which the study is created. For example, a trader has created a study on 30 days moving average on BTCUSD. The trader saves the chart as 30MA-BTCUSD. This study is now based on BTCUSD only and
can't be used on another contract
. If the trader then opens ETHUSD chart and opens the moving average study, the BTCUSD contract will also be loaded along with the study. For ETHUSD, a new moving average study needs to be created.
4. Editing Tool
The editing feature lets users choose the tools they are comfortable in using or that help increase the efficiency in making a chart. There are various types of brushes, paint colours, trend lines, a pre-made analysis that traders can load onto their chart. Traders can also add text and can load chart patterns such a Head and Shoulders, Elliot Wave and more.
5. Open charts in full screen or in a new tab
Traders can also view the charts loaded either on the same tab itself, load it on a new window or on full-screen mode. This feature ensures the charts don't clog on one tab itself.
6. Take a Screenshot and Share
Trades can take a screenshot of the charts and indicators they have created, or even wish to share it with other traders or on other platforms."
What is a quanto contract?,"In a typical futures contract, there's a base currency and quote currency. For e.g. in the case of an ETH futures contract that is quoted in USD, ETH is the base currency and USD is the quote currency. The margin and P&L of this contract could be potentially denominated in USD (vanilla futures) or ETH (inverse futures).
Quanto provides a third choice. By using a fixed multiplier the margining and settlement currency can be changed to a third currency. For instance, a BTC-USD multiplier can be defined to create an ETH vanilla quanto that is quoted in USD, but has its margin and P&L denominated in BTC. This is achieved by converting USD values to BTC using a fixed exchange rate provided by the BTC-USD multiplier."
What is an inverse futures contract?,"Consider a futures contract on BTC which is quoted in USD. Here, BTC is the base currency and USD is the quote currency.
In a typical (aka vanilla) futures contract, the margin and profit/ loss are denominated in the quote currency. Thus, a vanila futures on BTC that is quoted in USD is margined and settled in USD.
However, in the case of an inverse contract, margin and profit/ loss are denominated in the base currency. Thus, an inverse futures on BTC that is quoted in USD is margined and settled in BTC."
Sub Accounts: How do they work?,"Sub-accounts are a powerful feature that enable to you to trade through multiple accounts.
Sub-accounts are separate from your ""Main"" account. Each sub-account on Delta Exchange has independent balances, margin and positions and can trade independently. This make sub-accounts helpful in isolating positions, margin or access. Sub-accounts can be used by a single trader to run multiple strategies independently or by a firm with multiple traders, with each trader having its own sub-account.
Sub-account Features
Sub-accounts can be created with or without their own email
Sub-accounts with their own email can be accessed like any other account
Sub-accounts without their own email can be accessed through the Main account or through the sub-account API keys
Each sub-account is independent, in the sense that it has its own balances, deposit addresses, whitelisted withdrawal addresses, API keys and security settings
Sub-accounts inherit the Verification and VIP levels of the Main account
Transfers of balances between sub-accounts are instantaneous and free of charge
Portfolio margin can be enabled only on a single coin per account/ sub-account. By leveraging the sub-accounts feature, portfolio margined positions can be run on multiple coins
The Main account holder has full administrative control over the sub-account. They can enable/ disable 2FA and withdrawals
Note:
Sub accounts cannot claim offers or have trading credits
How to create sub-accounts
Requirements for Sub account creation
The main account holder should have completed the highest level of verification relevant for their country of residence
The main account should have 2 FA enabled
Steps for Sub account creation
The main account holder can create sub accounts through the
sub-accounts page
On the sub-accounts page click on the ""Create Sub Account button""
Steps for Sub account creation
The main account holder can create sub accounts through the
sub-accounts page
On the sub-accounts page click on the ""Create Sub Account button""
A pop up will open and would ask for inputs on the account name
You can click on the check box ""Use separate email ID and password"". By adding a separate email ID, you will be able to login through that same and trade on the sub - account. However, main account will always have the option to disable login through this email ID.
How to manage sub-accounts
Transferring equity across sub accounts
You can transfer equity between sub-accounts/ main account through the sub-accounts page by clicking on the ""Transfer Equity button""
In the opened pop-up Select the account you want to transfer from and to and add the amount you want to transfer and proceed
Editing account settings
Two settings for sub accounts can be edited by clicking on the ""edit"" icon under ""Action column"" in the sub account table:
Enable or disable the option to login through another email ID. This option is only valid for accounts for which a separate email ID has been added
Enable or disable withdrawals from sub-accounts
FAQs
How many sub-accounts can I create per Main account?
You can create 2 sub-accounts per Main account.
Can I delete a sub-account?
No, as of now, we do not have this functionality.
Why can't I transfer all my Main account balance to a sub-account?
Trading credits cannot be transferred to a sub-account. Any amount that is blocked on account of trading credits given to you can't be transferred either. Only the amount that can be withdrawn to an external address can be transferred to a sub-account.
Are there any restrictions on transfers between sub-accounts?
We restrict withdrawals from any account for 24 hours after password reset or 2FA enablement/ disablement. This restriction is also applicable to transfers.
Can I take opposing trade positions on different sub accounts?
Yes"
What to expect during maintenance?,"To continuously improve Delta Exchange, we regularly conduct planned maintenance. Maintenance is required to improve the performance of the existing website and services and also add new services/ features. Our planned maintenances generally consist of three phases:
Phase 1 - Cancel Only Mode
Before entering into maintenance, as a precursor warning, we enable cancel only mode. In this phase users
can
:
Cancel/ Edit their open orders
Access all pages and view complete market information
However, they
cannot:
Cancel/ Edit any open positions>
Add any new orders in any product
This phase is enabled for 2 - 5 minutes before each planned maintenance
Phase 2 - Maintenance
In this phase, we start the upgrade/ repair work the on our website. In this phase users
can
:
Access certain informational pages which do not use market data
However, they
cannot:
Access multiple sections of the website which use market information such as Trade page, markets page
Cancel/ Edit any open orders
Cancel/ Edit any open positions
Add any new orders in any product
Please also note that during this phase liquidations or stop orders are not triggered. This duration of this phase is variable and is communicated with the maintenance announcement
Phase 3 - Post Only Mode
In this phase, we re-initiate the website with limited functionality. At the end of this phase, a
single price auction
is conducted to determine the opening price. In this phase users
can
Access all pages and view complete market information
Add new orders, however, orders will not be executed as matching of orders is not initiated
Cancel/ Edit their open orders
However, they
cannot:
Cancel any open positions
This phase is generally active for 5 - 10 minutes before each planned maintenance. Post completion of Post only mode phase, normal trading resumes and all sections and features of the website become accessible."
Delta Exchange App Download,"Track crypto markets and trade on the go with Delta Exchange's apps!
Download Android App
Download iOS App"
Paying trading fees in DETO,"DETO can be used for paying fees for trades on Delta Exchange. Please note that this feature is available only to verified users. If you have not yet completed your KYC, you can start the verification process
here
.

There are two other important aspects to paying trading fees in DETO
The DETO that you pay as trading fees will be accepted at a price that is higher of the prevailing market price and the Minimum Support Price (MSP).
MSP
is currently set to $0.10.
For a given trade, only 25% of the trading fees is paid in DETO. The remaining 75% of the trading fees will be paid in the appropriate currency. For example, lets consider a trade which incurs a trading fees of USDT 10. If you have enabled the option of paying trading fees in DETO, you will pay 7.5 USDT and the 2.5 USDT in DETO.
Users in VIP Level 1 or above will not be eligible for paying fees in DETO under MSP program."
Does Delta Exchange have an iOS or Android App?,"Currently, no. Delta Exchange does not have a native iOS or Android App. We do however offer a Progressive Web App (PWA).
What is a PWA?
A Progressive Web App is a web app that uses modern capabilities of a browser to deliver a native app-like experience to users. It combines the best qualities of a web and a mobile app. A PWA can be easily installed on a phone and is generally indistinguishable from a native app. Like a native app, a PWA can send push notifications and access the hardware of the device.
Advantages of PWA:
(a) PWA works just like a native app. It has all the features and functionalities of a native app.
(b) PWA is very light and takes up little to no space on a mobile.
(c) The app updates automatically.
How to install Delta PWA
iOS
To put a PWA shortcut on your Home screen on an Apple product, do the following:
Tap the
Share
button in Safari for the PWA you’re using.
Then tap the icon labelled
Add to Home Screen
.
Tap
Add
in the upper-right corner.
Now
name your PWA
so that it’s distinguishable from its native counterpart on the Home screen and in Search, then tap
Add
in the upper-right corner.
In case the ‘Add to Homepage’ option is not available, go to:
Settings > Safari > Advanced > Experimental Features and then enable ‘Service Workers’.
Android
To put a PWA shortcut on your Home screen on an Android product, do the following:
Tap the
Settings
button in the Chrome page of the PWA you’re using.
Then slide down and tap
Add to Home Screen
.
Finally, name the PWA
as you would like and the app is then added to your home screen.
In case of any queries or suggestion, please feel free to write to us at
[email protected]
."
How do I tell if the email is from Delta Exchange or a phishing email?,"Take special note of the email address of the sender. Emails from Delta Exchange will always end with delta.exchange and no other addresses. Further, Delta Exchange staff will never ask you for any of your password(s) and/or 2FA code. Should you be in doubt about the authenticity of the email, please do not hesitate to contact us through our live chat support on the Delta Exchange
homepage
, or the trollbox on the trading terminal or our
Telegram channel
."
Does Delta Exchange have an iOS or Android App?,"Currently, no. Delta Exchange does not have a native iOS or Android App. We do however offer a Progressive Web App (PWA).
What is a PWA?
A Progressive Web App is a web app that uses modern capabilities of a browser to deliver a native app-like experience to users. It combines the best qualities of a web and a mobile app. A PWA can be easily installed on a phone and is generally indistinguishable from a native app. Like a native app, a PWA can send push notifications and access the hardware of the device.
Advantages of PWA:
(a) PWA works just like a native app. It has all the features and functionalities of a native app.
(b) PWA is very light and takes up little to no space on a mobile.
(c) The app updates automatically.
How to install Delta PWA
iOS
To put a PWA shortcut on your Home screen on an Apple product, do the following:
Tap the
Share
button in Safari for the PWA you’re using.
Then tap the icon labelled
Add to Home Screen
.
Tap
Add
in the upper-right corner.
Now
name your PWA
so that it’s distinguishable from its native counterpart on the Home screen and in Search, then tap
Add
in the upper-right corner.
In case the ‘Add to Homepage’ option is not available, go to:
Settings > Safari > Advanced > Experimental Features and then enable ‘Service Workers’.
Android
To put a PWA shortcut on your Home screen on an Android product, do the following:
Tap the
Settings
button in the Chrome page of the PWA you’re using.
Then slide down and tap
Add to Home Screen
.
Finally, name the PWA
as you would like and the app is then added to your home screen.
In case of any queries or suggestion, please feel free to write to us at
[email protected]
."
How much margin is reserved while placing an order on Delta Exchange?,"When placing an order, margin is reserved for:
Margin for the order
Trading Fees
Order Margin
The margin requirement while placing an order is the
Initial Margin
.
Order Margin = Order Size * Notional Value of 1 contract x Initial Margin%
Initial Margin% can vary from contract to contract and is specified in the
contract specification
.

At Delta we use
margin scaling
which means as order/ position size increases, the margin requirement increases too.

Current Initial Margin% = Initial Margin% + Slope_IM * (Order Size – Order Threshold)
What happens when you already have an open position/orders?
Delta Exchange uses
Isolated Margin System
. Therefore, all open positions have dedicated margin associated with it. But all open orders on a contract share a pool of margin that supports all of them. Due to this:
All orders open in a selected contract are at the
same leverage.
Margin offsetting occurs. All open position and open orders, including the one being placed, are considered. Opposite side position and open orders are netted and the margin for supporting the open position and open orders is computed.
This offsetting reduces the margin requirement considerably.
For example, John places a long order for 100 BTCUSD contracts at 10x leverage. Margin is blocked and the order becomes a position. Now, John places a short order for 100 BTCUSD at 10x leverage. Since John already has an open position in the opposite direction in this contract,
NO margin
is required to place this order.
This is Margin Offsetting.
Trading Fees
When placing an order trading fees are reserved in advance. Depending on the type of order that is executed traders are charged with either Taker Fees or Maker Fees. Reservation of Fees occur when:
An order becomes a position
On closing a position
Therefore with each order, estimated trading fees for opening execution (order becomes a position) and closing execution (position is closed) are reserved. Click here to know more about
Make
and Taker Fees
.
Trading Fees Reserved = (Quantity x Entry_Price x Fee) + (Quantity x Exit_Price x Fee)
*Entry_Price and Exit_Price are estimated using the order characteristics and prevailing prices.

Hence, the margin reserved includes
Order Margin + Trading Fees Reserved."
How to use Charting Tools to improve Technical Analysis,"Delta Exchange has integrated Trading View charts that can be used by traders for conducting technical analysis. Here’s the list of features and tools that are at the disposal of traders for enhancing their trading strategies and performance.
1. Multi-Tab Options
The multiple tab option is available on the top of the trading screen interface. The tabs offer different parameters such as traded price, mark price, funding and market dept.
2. Different Chart Types
By default, the chart shown on the interface is a candlestick chart with 15m frequency. However, there are multiple chart options available such as Line, Bars, Hollow Candles and so on, ranging from a frequency of 1 minute to 30 days.
3. Perform Analysis and Technical Studies
This feature on the interface lets traders compare two or more contracts to see if there is any price correlation, draw analysis through data points or track the movement of price. Let’s take, for instance, Bollinger Bands on BTCUSD contract.
Bollinger Bands
is a set of lines plotted two standard deviations away from a simple moving average. Two standard deviations is not a fixed number and hence traders have the option of changing the standard deviations according to their strategy on the interface. This is what Bollinger Bands on BTCUSD at 1 standard deviation look like.
*The arrow marked in red is where the option to edit charts is available.

After loading a particular study, traders have the option to edit the data points in line with their study.
Please note:
Trading View saves a study in the contract on which the study is created. For example, a trader has created a study on 30 days moving average on BTCUSD. The trader saves the chart as 30MA-BTCUSD. This study is now based on BTCUSD only and
can't be used on another contract
. If the trader then opens ETHUSD chart and opens the moving average study, the BTCUSD contract will also be loaded along with the study. For ETHUSD, a new moving average study needs to be created.
4. Editing Tool
The editing feature lets users choose the tools they are comfortable in using or that help increase the efficiency in making a chart. There are various types of brushes, paint colours, trend lines, a pre-made analysis that traders can load onto their chart. Traders can also add text and can load chart patterns such a Head and Shoulders, Elliot Wave and more.
5. Open charts in full screen or in a new tab
Traders can also view the charts loaded either on the same tab itself, load it on a new window or on full-screen mode. This feature ensures the charts don't clog on one tab itself.
6. Take a Screenshot and Share
Trades can take a screenshot of the charts and indicators they have created, or even wish to share it with other traders or on other platforms."
